,Question_ID,Question_Link,Question,No._of_Follows,No._of_answers
0,33400,https://www.quora.com/What-are-some-of-the-best-job-interview-responses-you-have-ever-had-as-an-interviewer,What are some of the best job interview responses you have ever had as an interviewer?,330,['18 Answers']
1,18800,https://www.quora.com/What-will-you-say-if-an-interviewer-says-You-have-10-minutes-to-impress-me,"What will you say if an interviewer says ""You have 10 minutes to impress me""?",31,['100+ Answers']
2,24800,https://www.quora.com/What-would-you-do-if-your-interviewer-says-prove-to-me-that-youre-smart,"What would you do if your interviewer says ""prove to me that you're smart""?",121,['100+ Answers']
3,36300,https://www.quora.com/What-is-the-smartest-thing-you-have-ever-done-in-an-interview,What is the smartest thing you have ever done in an interview?,400,['100+ Answers']
4,30300,https://www.quora.com/Have-you-ever-hired-a-candidate-for-a-job-and-they-turned-out-to-be-completely-different-than-they-were-in-the-interview,Have you ever hired a candidate for a job and they turned out to be completely different than they were in the interview?,161,['75 Answers']
5,17200,https://www.quora.com/What-is-the-interview-process-like-at-Microsoft,What is the interview process like at Microsoft?,416,['22 Answers']
6,47300,https://www.quora.com/What-are-the-qualities-that-make-candidates-stand-out-in-an-interview,What are the qualities that make candidates stand out in an interview?,696,['20 Answers']
7,29400,https://www.quora.com/How-should-software-engineers-go-about-preparing-for-technical-interviews,How should software engineers go about preparing for technical interviews?,349,['16 Answers']
8,24700,https://www.quora.com/Have-you-ever-walked-out-of-an-interview,Have you ever walked out of an interview?,231,['100+ Answers']
9,23400,https://www.quora.com/What-interview-question-stumped-you,What interview question stumped you?,890,['6 Answers']
